GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NAME,POP100,HU100,POP1002000,HU1002000,P001001,P0010012000
24001000100,140,24,1,19060,999,Census Tract 1,3718,2005,3741,1852,3718,3741
24001000200,140,24,1,19060,999,Census Tract 2,4564,1468,4622,1363,4564,4622
24001000300,140,24,1,19060,999,Census Tract 3,2780,1255,2696,1247,2780,2696
24001000400,140,24,1,19060,999,Census Tract 4,3022,1592,3250,1634,3022,3250
24001000500,140,24,1,19060,999,Census Tract 5,2734,1311,2583,1318,2734,2583
24001000600,140,24,1,19060,999,Census Tract 6,2965,1502,3285,1550,2965,3285
24001000700,140,24,1,19060,999,Census Tract 7,3387,1761,3470,1778,3387,3470
24001000800,140,24,1,19060,999,Census Tract 8,2213,1066,2347,1112,2213,2347
24001001000,140,24,1,19060,999,Census Tract 10,2547,1500,2810,1617,2547,2810
24001001100,140,24,1,19060,999,Census Tract 11,1493,977,1609,952,1493,1609
24001001200,140,24,1,19060,999,Census Tract 12,3164,1482,3240,1502,3164,3240
24001001300,140,24,1,19060,999,Census Tract 13,5268,984,3678,971,5268,3678
24001001401,140,24,1,19060,999,Census Tract 14.01,4110,1874,4102,1806,4110,4102
24001001402,140,24,1,19060,999,Census Tract 14.02,1589,736,1622,718,1589,1622
24001001502,140,24,1,19060,999,Census Tract 15.02,2055,893,2145,820,2055,2145
24001001503,140,24,1,19060,999,Census Tract 15.03,1968,878,2105,894,1968,2105
24001001600,140,24,1,19060,999,Census Tract 16,1766,800,1716,751,1766,1716
24001001700,140,24,1,19060,999,Census Tract 17,4818,2290,5069,2272,4818,5069
24001001800,140,24,1,19060,999,Census Tract 18,5411,1839,4869,1750,5411,4869
24001001900,140,24,1,19060,999,Census Tract 19,2623,1130,2548,1058,2623,2548
24001002000,140,24,1,19060,999,Census Tract 20,5552,2483,5561,2416,5552,5561
24001002100,140,24,1,19060,999,Census Tract 21,3466,1567,3631,1676,3466,3631
24001002200,140,24,1,19060,999,Census Tract 22,3874,1918,4226,1922,3874,4226
24003701101,140,24,3,12580,548,Census Tract 7011.01,4151,1633,3725,1399,4151,3725
24003701102,140,24,3,12580,548,Census Tract 7011.02,7508,3201,6332,2573,7508,6332
24003701200,140,24,3,12580,548,Census Tract 7012,8298,3393,6827,2783,8298,6827
24003701300,140,24,3,12580,548,Census Tract 7013,7906,2842,6995,2431,7906,6995
24003701400,140,24,3,12580,548,Census Tract 7014,3575,1332,2690,995,3575,2690
24003702100,140,24,3,12580,548,Census Tract 7021,6722,2791,6122,2504,6722,6122
24003702204,140,24,3,12580,548,Census Tract 7022.04,4169,1560,4021,1499,4169,4021
24003702205,140,24,3,12580,548,Census Tract 7022.05,5322,2366,5132,2273,5322,5132
24003702206,140,24,3,12580,548,Census Tract 7022.06,6372,2401,5515,2042,6372,5515
24003702208,140,24,3,12580,548,Census Tract 7022.08,6962,2630,6027,2236,6962,6027
24003702209,140,24,3,12580,548,Census Tract 7022.09,4523,1568,3915,1333,4523,3915
24003702300,140,24,3,12580,548,Census Tract 7023,5423,2016,5265,1865,5423,5265
24003702402,140,24,3,12580,548,Census Tract 7024.02,6049,3441,4790,2335,6049,4790
24003702500,140,24,3,12580,548,Census Tract 7025,6669,2293,5251,1814,6669,5251
24003702601,140,24,3,12580,548,Census Tract 7026.01,5629,2287,5709,2206,5629,5709
24003702602,140,24,3,12580,548,Census Tract 7026.02,6021,2607,5754,2411,6021,5754
24003702701,140,24,3,12580,548,Census Tract 7027.01,4815,2357,4423,2052,4815,4423
24003702702,140,24,3,12580,548,Census Tract 7027.02,3857,1748,3544,1521,3857,3544
24003706101,140,24,3,12580,548,Census Tract 7061.01,3686,2023,3805,1972,3686,3805
24003706301,140,24,3,12580,548,Census Tract 7063.01,4663,2742,4627,2567,4663,4627
24003706302,140,24,3,12580,548,Census Tract 7063.02,3224,2084,3200,1951,3224,3200
24003706401,140,24,3,12580,548,Census Tract 7064.01,6442,2407,5736,2278,6442,5736
24003706402,140,24,3,12580,548,Census Tract 7064.02,3210,1653,3250,1585,3210,3250
24003706500,140,24,3,12580,548,Census Tract 7065,5222,2530,4337,1947,5222,4337
24003706600,140,24,3,12580,548,Census Tract 7066,4591,2093,4970,2070,4591,4970
24003706700,140,24,3,12580,548,Census Tract 7067,4890,195,4264,263,4890,4264
24003707001,140,24,3,12580,548,Census Tract 7070.01,6082,2715,5702,2364,6082,5702
24003707002,140,24,3,12580,548,Census Tract 7070.02,4696,2077,4762,1928,4696,4762
24003708001,140,24,3,12580,548,Census Tract 7080.01,3873,1703,6443,2509,3873,6443
24003708004,140,24,3,12580,548,Census Tract 7080.04,5485,2304,5187,2086,5485,5187
24003730100,140,24,3,12580,548,Census Tract 7301,7451,3031,6118,2426,7451,6118
24003730203,140,24,3,12580,548,Census Tract 7302.03,5303,2613,4889,2516,5303,4889
24003730204,140,24,3,12580,548,Census Tract 7302.04,5723,2001,5486,1801,5723,5486
24003730300,140,24,3,12580,548,Census Tract 7303,3113,1209,3121,1175,3113,3121
24003730401,140,24,3,12580,548,Census Tract 7304.01,4745,1822,4144,1620,4745,4144
24003730402,140,24,3,12580,548,Census Tract 7304.02,6136,2604,5843,2479,6136,5843
24003730502,140,24,3,12580,548,Census Tract 7305.02,6327,2493,5609,2097,6327,5609
24003730504,140,24,3,12580,548,Census Tract 7305.04,7630,2929,7691,2893,7630,7691
24003730505,140,24,3,12580,548,Census Tract 7305.05,4599,2137,4304,2019,4599,4304
24003730506,140,24,3,12580,548,Census Tract 7305.06,3888,1961,3638,1853,3888,3638
24003730601,140,24,3,12580,548,Census Tract 7306.01,6846,2344,6546,2077,6846,6546
24003730603,140,24,3,12580,548,Census Tract 7306.03,3107,1086,2903,965,3107,2903
24003730604,140,24,3,12580,548,Census Tract 7306.04,6748,2236,6212,2054,6748,6212
24003730700,140,24,3,12580,548,Census Tract 7307,6978,2706,6650,2607,6978,6650
24003730800,140,24,3,12580,548,Census Tract 7308,2456,966,2324,920,2456,2324
24003730901,140,24,3,12580,548,Census Tract 7309.01,2608,1020,3039,1033,2608,3039
24003730902,140,24,3,12580,548,Census Tract 7309.02,4075,1576,3282,1239,4075,3282
24003731002,140,24,3,12580,548,Census Tract 7310.02,3234,1350,2560,984,3234,2560
24003731003,140,24,3,12580,548,Census Tract 7310.03,4387,1624,4084,1475,4387,4084
24003731004,140,24,3,12580,548,Census Tract 7310.04,4258,1642,3971,1498,4258,3971
24003731102,140,24,3,12580,548,Census Tract 7311.02,7750,3168,7622,3095,7750,7622
24003731103,140,24,3,12580,548,Census Tract 7311.03,5422,1923,5456,1823,5422,5456
24003731104,140,24,3,12580,548,Census Tract 7311.04,4097,1438,4347,1437,4097,4347
24003731105,140,24,3,12580,548,Census Tract 7311.05,3572,1353,3791,1352,3572,3791
24003731201,140,24,3,12580,548,Census Tract 7312.01,6354,2437,6158,2230,6354,6158
24003731202,140,24,3,12580,548,Census Tract 7312.02,7686,2946,7511,2779,7686,7511
24003731203,140,24,3,12580,548,Census Tract 7312.03,7295,2624,6898,2388,7295,6898
24003731204,140,24,3,12580,548,Census Tract 7312.04,6115,2404,5233,2158,6115,5233
24003731303,140,24,3,12580,548,Census Tract 7313.03,6827,2795,6722,2593,6827,6722
24003731306,140,24,3,12580,548,Census Tract 7313.06,6293,2460,5835,2201,6293,5835
24003731307,140,24,3,12580,548,Census Tract 7313.07,6586,2480,6005,2214,6586,6005
24003731308,140,24,3,12580,548,Census Tract 7313.08,3688,1486,3520,1394,3688,3520
24003731309,140,24,3,12580,548,Census Tract 7313.09,5524,2134,5534,2081,5524,5534
24003731310,140,24,3,12580,548,Census Tract 7313.10,5247,1861,5377,1806,5247,5377
24003731311,140,24,3,12580,548,Census Tract 7313.11,8070,2797,7456,2557,8070,7456
24003740102,140,24,3,12580,548,Census Tract 7401.02,6497,2772,5395,1326,6497,5395
24003740103,140,24,3,12580,548,Census Tract 7401.03,8479,3006,7540,2623,8479,7540
24003740104,140,24,3,12580,548,Census Tract 7401.04,7984,2910,7106,2485,7984,7106
24003740105,140,24,3,12580,548,Census Tract 7401.05,3533,1304,3398,1157,3533,3398
24003740201,140,24,3,12580,548,Census Tract 7402.01,7238,2845,6901,2625,7238,6901
24003740203,140,24,3,12580,548,Census Tract 7402.03,5402,1875,4131,1413,5402,4131
24003740303,140,24,3,12580,548,Census Tract 7403.03,4211,1531,3597,1338,4211,3597
24003740304,140,24,3,12580,548,Census Tract 7403.04,3950,1664,2939,1146,3950,2939
24003740305,140,24,3,12580,548,Census Tract 7403.05,10161,3970,7572,2740,10161,7572
24003740400,140,24,3,12580,548,Census Tract 7404,4716,0,3411,0,4716,3411
24003740500,140,24,3,12580,548,Census Tract 7405,9284,4095,7517,3271,9284,7517
24003740601,140,24,3,12580,548,Census Tract 7406.01,3661,1331,4240,1428,3661,4240
24003740602,140,24,3,12580,548,Census Tract 7406.02,3959,1201,3655,989,3959,3655
24003740603,140,24,3,12580,548,Census Tract 7406.03,1730,208,2491,479,1730,2491
24003740701,140,24,3,12580,548,Census Tract 7407.01,5893,2847,3121,1428,5893,3121
24003740702,140,24,3,12580,548,Census Tract 7407.02,9644,3961,5109,1986,9644,5109
24003740800,140,24,3,12580,548,Census Tract 7408,4396,1689,4193,1472,4396,4193
24003740900,140,24,3,12580,548,Census Tract 7409,6950,2554,6819,2413,6950,6819
24003741000,140,24,3,12580,548,Census Tract 7410,2366,841,1738,613,2366,1738
24003750101,140,24,3,12580,548,Census Tract 7501.01,4292,1678,3965,1652,4292,3965
24003750102,140,24,3,12580,548,Census Tract 7501.02,2533,931,2533,948,2533,2533
24003750201,140,24,3,12580,548,Census Tract 7502.01,2741,1070,2704,1028,2741,2704
24003750202,140,24,3,12580,548,Census Tract 7502.02,3426,1317,3226,1211,3426,3226
